ID,State,Name,Category,Income,Qualification,Description,Type,Award Amount,Duration,Application Deadline,Eligibility Criteria
64,Delhi,Sustainability Economics Scholarship by JNU Research,Minority,750000,HSC,Sustainability Economics Scholarship by JNU Research provides financial assistance to students in Minority category. The award amount is INR 148390 per year.,Government,INR 148390,1 years,4th September 2025,Applicant must have scored at least 57% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the ST category. Applicants must be residents of Kerala.
65,Punjab,Community Agriculture Scholarship by Indian Government,EWS,500000,Graduation,Community Agriculture Scholarship by Indian Government provides financial assistance to students in EWS category. The award amount is INR 41014 per year.,NGO,INR 41014,3 years,20th August 2025,Applicant must have scored at least 50% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the General category. Applicants must be residents of Punjab.
66,Maharashtra,Development STEM Scholarship by Indian Science Society,EWS,500000,HSC,Development STEM Scholarship by Indian Science Society provides financial assistance to students in EWS category. The award amount is INR 20775 per year.,Corporate,INR 20775,4 years,12th September 2025,Applicant must have scored at least 52% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing HSC. Preference will be given to students belonging to the all category. Applicants must be residents of Maharashtra.
67,Assam,Merit STEM Scholarship by IIT Foundation,OBC,500000,Engineering,Merit STEM Scholarship by IIT Foundation provides financial assistance to students in OBC category. The award amount is INR 10622 per year.,NGO,INR 10622,3 years,19th July 2025,Applicant must have scored at least 74% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1500000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the ST category. Applicants must be residents of Uttar Pradesh.
68,Punjab,Sustainability Entrepreneurship Scholarship by Ambani Institute,General,250000,Graduation,Sustainability Entrepreneurship Scholarship by Ambani Institute provides financial assistance to students in General category. The award amount is INR 141442 per year.,Private,INR 141442,1 years,3th September 2025,Applicant must have scored at least 84% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 500000. The scholarship is open for students pursuing Diploma. Preference will be given to students belonging to the ST category. Applicants must be residents of Jharkhand.
69,Odisha,Sustainability Law Scholarship by Ambani Institute,SEBC,0,Ph.D.,Sustainability Law Scholarship by Ambani Institute provides financial assistance to students in SEBC category. The award amount is INR 147536 per year.,NGO,INR 147536,1 years,27th August 2025,Applicant must have scored at least 67% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the SC category. Applicants must be residents of Telangana.
70,Jharkhand,Empowerment Arts Scholarship by IIT Foundation,all,1000000,Engineering,Empowerment Arts Scholarship by IIT Foundation provides financial assistance to students in all category. The award amount is INR 135155 per year.,Corporate,INR 135155,3 years,7th July 2025,Applicant must have scored at least 70% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 1000000. The scholarship is open for students pursuing Medical. Preference will be given to students belonging to the General category. Applicants must be residents of Rajasthan.
71,Rajasthan,Research Literature Scholarship by Mahatma Gandhi Trust,Minority,1000000,Post-Graduation,Research Literature Scholarship by Mahatma Gandhi Trust provides financial assistance to students in Minority category. The award amount is INR 79635 per year.,Government,INR 79635,1 years,28th July 2025,Applicant must have scored at least 86% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the Minority category. Applicants must be residents of Chhattisgarh.
72,Punjab,Merit Social Sciences Scholarship by Indian Government,EWS,0,Post-Graduation,Merit Social Sciences Scholarship by Indian Government provides financial assistance to students in EWS category. The award amount is INR 81398 per year.,International,INR 81398,4 years,3th September 2025,Applicant must have scored at least 71% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 250000. The scholarship is open for students pursuing Post-Graduation. Preference will be given to students belonging to the all category. Applicants must be residents of Jharkhand.
73,Jharkhand,Innovation STEM Scholarship by Indian Education Trust,ST,250000,Post-Graduation,Innovation STEM Scholarship by Indian Education Trust provides financial assistance to students in ST category. The award amount is INR 110530 per year.,International,INR 110530,2 years,7th September 2025,Applicant must have scored at least 82% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the Minority category. Applicants must be residents of Chhattisgarh.
74,Chhattisgarh,Community Economics Scholarship by Indian Government,all,250000,Ph.D.,Community Economics Scholarship by Indian Government provides financial assistance to students in all category. The award amount is INR 124563 per year.,NGO,INR 124563,1 years,12th July 2025,Applicant must have scored at least 66% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 0. The scholarship is open for students pursuing Graduation. Preference will be given to students belonging to the OBC category. Applicants must be residents of Tamil Nadu.
75,Haryana,Innovation Agriculture Scholarship by Indian Education Trust,ST,500000,Medical,Innovation Agriculture Scholarship by Indian Education Trust provides financial assistance to students in ST category. The award amount is INR 52808 per year.,NGO,INR 52808,1 years,28th August 2025,Applicant must have scored at least 58% in their last qualifying exam (Class 12 or equivalent). Annual family income should not exceed INR 750000. The scholarship is open for students pursuing Ph.D.. Preference will be given to students belonging to the EWS category. Applicants must be residents of Odisha.
