ID,State,Name,Category,Income Eligibility,Qualification,Eligible Courses,Special Criteria,Minimum Qualification,Description,Type,Selection Process,Award Amount,Duration,Application Deadline,Registration Link
404,Odisha,Appinventiv Edu Boost Scholarship,All,Below ₹5 lakhs,Engineering,Tech-driven ug,Not Specified,Not Specified,Assistance for tech-driven UG courses.,Private,Not Specified,"Up to ₹40,000",Annual,Open,https://www.appinventiv.com/scholarship
405,Odisha,KSB Mentorship & Scholarship,All,Below ₹6 lakhs,Engineering,Engineering,Female category,Not Specified,Scholarship & mentorship to empower girls.,Private,Not Specified,Varies,Annual,Open,https://www.ksb.com/en-in/company/corporate-responsibility/education
406,Odisha,Rolls-Royce Wings4Her Scholarship,All,Below ₹4 lakhs,Engineering,Engineering,Female category,Not Specified,Encouraging women in STEM.,Private,Not Specified,Varies,Annual,Open,https://www.rolls-royce.com/about/our-people/early-careers/scholarships.aspx
407,Odisha,GIET University Merit Scholarship,All,Na,UG/PG,Ug/pg,Not Specified,Not Specified,Merit scholarship from GIET University.,Private,Not Specified,"Up to ₹68,000",Annual,Open,https://www.giet.edu/scholarships
408,Tamil Nadu,"Free Education Scheme for BC, MBC, and DNC Students",BC/MBC/DNC,"Up to ₹50,000",UG/PG,Recognized ug,Not Specified,Not Specified,"Covers tuition, examination, special, and other compulsory fees for eligible students.",Not Specified,Not Specified,"Up to ₹10,000/year",Annual,Varies,https://www.tn.gov.in/scheme/data_view/27488
409,Tamil Nadu,Incentive Scheme for Rural MBC/DNC Girl Students,MBC/DNC (Girls),"Up to ₹25,000",Classes 3-6,Classes 3-6,Female category,Not Specified,Provides financial incentives to rural girl students from MBC/DNC communities.,Not Specified,Not Specified,"₹500-₹1,000/year",Annual,Varies,https://www.lwb.tn.gov.in/schemes.php?Educational_incentive=
410,Tamil Nadu,Thanthai Periyar Memorial Award,BC/MBC/DNC,No Income Limit,Polytechnic Students,Polytechnic students,Female category,Not Specified,Award for top-performing BC/MBC/DNC students in Class 10 pursuing polytechnic courses.,Not Specified,Not Specified,"₹3,000/year",3 Years,Varies,https://www.tn.gov.in/awards
411,Tamil Nadu,Perarignar Anna Memorial Award,BC/MBC/DNC,No Income Limit,Professional Degree Students,Professional degree,Female category,Not Specified,Award for top-performing BC/MBC/DNC students in Class 12 pursuing professional degrees.,Not Specified,Not Specified,"₹3,000/year",4 Years,Varies,https://www.tn.gov.in/awards
412,Tamil Nadu,Vidyadhan Scholarship Program,BC/MBC/DNC,"Up to ₹2,00,000",Classes 11-12,Classes 11-12,Not Specified,90% in  Class 10,Provides financial assistance to meritorious students from economically weaker sections.,Private,Not Specified,"Up to ₹6,000/year",2 Years,Varies,https://Vidyadhan Scholarship
413,Tamil Nadu,National Talent Search Examination (NTSE),BC/MBC/DNC,No Income Limit,Classes 11-12,Students with high academic performance in class 10,Not Specified,Not Specified,Scholarship for students with high academic performance in Class 10.,Private,Not Specified,"₹1,250-₹2,000/month",Ongoing,Varies,https://NTSE Scholarship
414,Tamil Nadu,RIMC Dehradun Scholarship,BC/MBC/DNC,No Income Limit,Class 8,Class 8,Not Specified,Not Specified,Scholarship for students aiming to join Rashtriya Indian Military College.,International,Not Specified,"₹1,000/month",Ongoing,Varies,https://RIMC Scholarship
415,Tamil Nadu,Deceased Government Servants Scholarship,BC/MBC/DNC,No Income Limit,All Levels,All levels,Not Specified,Not Specified,Financial assistance to children of deceased government servants.,Government,Not Specified,Tuition and other fees coverage,Ongoing,Varies,https://Deceased Servants Scholarship
416,Tamil Nadu,Ph.D. Scholarship,BC/MBC/DNC,No Income Limit,Ph.D. Students,Ph.d. students,Not Specified,60% in last qualifying exam,Monthly stipend for Ph.D. scholars in government or government-aided colleges.,Government,Not Specified,"₹3,000/month",Ongoing,Varies,https://Ph.D. Scholarship
417,Tamil Nadu,EVR Nagammai Scholarship,BC/MBC/DNC,No Income Limit,PG Students,Post-graduation in arts and science,Female category,Not Specified,Financial assistance to girl students pursuing post-graduation in arts and science.,Private,Not Specified,Variable amount,Ongoing,Varies,https://EVR Nagammai Scholarship
418,Tamil Nadu,First Graduate Scholarship,BC/MBC/DNC,No Income Limit,UG Students,Ug students,Not Specified,Not Specified,Financial assistance to first-generation graduates in the family.,Private,Not Specified,"₹25,000/year",Ongoing,Varies,https://First Graduate Scholarship
419,Tamil Nadu,BC/MBC/DNC Post Matric Scholarship,BC/MBC/DNC,"Up to ₹2,00,000",UG/PG,Recognized ug,Not Specified,Not Specified,Reimbursement of tuition and other compulsory fees for students in post-matric courses.,Private,Not Specified,Tuition and fee reimbursement,Ongoing,Varies,https://www.tnadw.in/post_matric
420,Tamil Nadu,Free Education Scheme for Professional Courses,BC/MBC/DNC,No Income Limit,Professional Courses,"Students in professional courses like engineering, medical",Not Specified,Not Specified,"Covers tuition and other fees for students in professional courses like engineering, medical, law.",Not Specified,Not Specified,Variable amount,Ongoing,Varies,https://www.myscheme.gov.in/schemes/fesfpc
421,Tamil Nadu,Weaver Scholarship,BC/MBC/DNC,No Income Limit,All Levels,All levels,Not Specified,Not Specified,Financial assistance to students pursuing education in weaving and textile fields.,Private,Not Specified,Varies,Ongoing,Varies,https://Weaver Scholarship
422,Tamil Nadu,Tamil Nadu Government School Scholarship,BC/MBC/DNC,No Income Limit,Class 1-12,Class 1-12,Not Specified,Not Specified,Scholarships for meritorious students from BC/MBC/DNC categories attending government schools.,Government,Not Specified,Varies,Ongoing,Varies,https://bcw.tn.gov.in/sub_page/8
423,Tamil Nadu,Post Matric Scholarship for SC Students,SC,No Income Limit,Class 11-PhD,"Tuition, hostel, and other educational expenses for sc students pursuing studies from class 11",Not Specified,Not Specified,"Financial assistance for tuition, hostel, and other educational expenses for SC students pursuing studies from Class 11 onwards.",Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
424,Tamil Nadu,Free Education Scheme for SC Students,SC,No Income Limit,UG/PG,Ug/pg,Not Specified,Not Specified,Tuition fee exemption for SC students studying in government and government-aided institutions.,Government,Not Specified,Tuition Fee Coverage,Annual,Varies,http://ssp.tn.gov.in/
425,Tamil Nadu,Dr. Ambedkar Medhavi Students Scholarship,SC,No Income Limit,Professional Courses,Meritorious sc students pursuing professional courses like engineering,Not Specified,Not Specified,"Financial aid for meritorious SC students pursuing professional courses like Engineering, Medicine, Law, etc.",Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
426,Tamil Nadu,Chief Minister's Special Scholarship for Differently-Abled Students,SC,No Income Limit,UG/PG,Ug/pg,Not Specified,Not Specified,Financial assistance for differently-abled SC students pursuing higher education.,Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
427,Tamil Nadu,Post Matric Scholarship for Differently Abled Students,SC,No Income Limit,Class 11-PhD,Differently-abled sc students pursuing studies from class 11,Not Specified,Not Specified,Financial support for differently-abled SC students pursuing studies from Class 11 onwards.,Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
428,Tamil Nadu,Post Matric Scholarship for Minority Students,SC,No Income Limit,Class 11-PhD,Class 11-phd,Minority category,Not Specified,"Financial assistance for tuition, hostel, and other educational expenses for SC students from minority communities.",Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
429,Tamil Nadu,Under Graduate Scholarship - SC/ST Cell - Anna University,SC,No Income Limit,UG,Ug,SC/ST category,Not Specified,Scholarships for SC/ST students pursuing undergraduate courses at Anna University.,Private,Not Specified,"₹12,000-₹20,000/year",Annual,Varies,http://www.annauniv.edu/scstcell/scholarship.html
430,Tamil Nadu,Saandror-Aandror (SC-ST) Scholarship,SC,No Income Limit,All Levels,Studies from class 11,SC/ST category,Not Specified,"Financial assistance for SC/ST students pursuing studies from Class 11 to PhD, including self-financing courses.",Private,Not Specified,Varies,Annual,Varies,http://www.swtn.org/whats%20new/schoolership.html
431,Tamil Nadu,Free Education Schemes for SC/ST Students in Tamil Nadu,SC,No Income Limit,Class 1-PhD,Class 1-phd,SC/ST category,Not Specified,Tuition fee exemption and financial assistance for SC/ST students from Class 1 to PhD in Tamil Nadu.,Not Specified,Not Specified,Tuition Fee Coverage,Annual,Varies,http://kadamboverseas.com/free-education-schemes-for-sc-st-students-tamil-nadu/
432,Tamil Nadu,PhD Scholarship,SC,No Income Limit,PhD,Phd,Not Specified,Not Specified,Monthly stipend for SC students pursuing full-time PhD in government or government-aided colleges.,Government,Not Specified,"₹3,000/month",Ongoing,Varies,http://ssp.tn.gov.in/
433,Tamil Nadu,EVR Nagammai Scholarship,SC,No Income Limit,PG,Postgraduate degrees in arts and science,SC/ST category,Not Specified,Financial assistance for SC/ST girl students pursuing postgraduate degrees in Arts and Science.,Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
434,Tamil Nadu,Scholarship to Son and Daughter of Differently Abled Persons,SC,No Income Limit,All Levels,All levels,Not Specified,Not Specified,Financial assistance for children of differently-abled persons pursuing higher education.,Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
435,Tamil Nadu,Scholarship for Differently Abled Students from Class 9th Onwards,SC,No Income Limit,Class 9-PhD,Differently-abled sc students pursuing studies from class 9,Not Specified,Not Specified,Financial support for differently-abled SC students pursuing studies from Class 9 onwards.,Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
436,Tamil Nadu,Scholarship for Differently Abled Students towards Purchase of Books and Note Books,SC,No Income Limit,Class 1-8,Class 1-8,Not Specified,Not Specified,Financial assistance for differently-abled SC students for purchasing books and notebooks.,Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
437,Tamil Nadu,Post Matric Scholarship for SC Students (National Level),SC,No Income Limit,Class 11-PhD,Sc students pursuing post-matric,Not Specified,Not Specified,Financial assistance for SC students pursuing post-matric courses at national level.,Private,Not Specified,Varies,Annual,Varies,http://scholarships.gov.in/
438,Tamil Nadu,Post Matric Scholarship for ST Students,ST,No Income Limit,Class 11-PhD,St students pursuing studies from class 11,Not Specified,Not Specified,Financial assistance for ST students pursuing studies from Class 11 onwards.,Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
439,Tamil Nadu,Free Education Scheme for ST Students,ST,No Income Limit,UG/PG,Ug/pg,Not Specified,Not Specified,Tuition fee exemption for ST students studying in government and government-aided institutions.,Government,Not Specified,Tuition Fee Coverage,Annual,Varies,http://ssp.tn.gov.in/
440,Tamil Nadu,Dr. Ambedkar Medhavi Students Scholarship,ST,No Income Limit,Professional Courses,Meritorious st students pursuing professional courses like engineering,Not Specified,Not Specified,"Financial aid for meritorious ST students pursuing professional courses like Engineering, Medicine, Law, etc.",Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
441,Tamil Nadu,Chief Minister's Special Scholarship for Differently-Abled Students,ST,No Income Limit,UG/PG,Ug/pg,Not Specified,Not Specified,Financial assistance for differently-abled ST students pursuing higher education.,Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
442,Tamil Nadu,Post Matric Scholarship for Differently Abled Students,ST,No Income Limit,Class 11-PhD,Differently-abled st students pursuing studies from class 11,Not Specified,Not Specified,Financial support for differently-abled ST students pursuing studies from Class 11 onwards.,Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
443,Tamil Nadu,Post Matric Scholarship for Minority Students,ST,No Income Limit,Class 11-PhD,Class 11-phd,Minority category,Not Specified,"Financial assistance for tuition, hostel, and other educational expenses for ST students from minority communities.",Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
444,Tamil Nadu,Under Graduate Scholarship - ST Cell - Anna University,ST,No Income Limit,UG,Ug,Not Specified,Not Specified,Scholarships for ST students pursuing undergraduate courses at Anna University.,Private,Not Specified,"₹12,000-₹20,000/year",Annual,Varies,http://www.annauniv.edu/scstcell/scholarship.html
445,Tamil Nadu,Saandror-Aandror (ST) Scholarship,ST,No Income Limit,All Levels,St students pursuing studies from class 11,Not Specified,Not Specified,"Financial assistance for ST students pursuing studies from Class 11 to PhD, including self-financing courses.",Private,Not Specified,Varies,Annual,Varies,http://www.swtn.org/whats%20new/schoolership.html
446,Tamil Nadu,Free Education Schemes for ST Students in Tamil Nadu,ST,No Income Limit,Class 1-PhD,St students from class 1,Not Specified,Not Specified,Tuition fee exemption and financial assistance for ST students from Class 1 to PhD in Tamil Nadu.,Not Specified,Not Specified,Tuition Fee Coverage,Annual,Varies,http://kadamboverseas.com/free-education-schemes-for-st-students-tamil-nadu/
447,Tamil Nadu,PhD Scholarship,ST,No Income Limit,PhD,Phd,Not Specified,Not Specified,Monthly stipend for ST students pursuing full-time PhD in government or government-aided colleges.,Government,Not Specified,"₹3,000/month",Ongoing,Varies,http://ssp.tn.gov.in/
448,Tamil Nadu,EVR Nagammai Scholarship,ST,No Income Limit,PG,St girl students pursuing postgraduate degrees in arts and science,Female category,Not Specified,Financial assistance for ST girl students pursuing postgraduate degrees in Arts and Science.,Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
449,Tamil Nadu,Scholarship to Son and Daughter of Differently Abled Persons,ST,No Income Limit,All Levels,All levels,Not Specified,Not Specified,Financial assistance for children of differently-abled persons pursuing higher education.,Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
450,Tamil Nadu,Scholarship for Differently Abled Students from Class 9th Onwards,ST,No Income Limit,Class 9-PhD,Differently-abled st students pursuing studies from class 9,Not Specified,Not Specified,Financial support for differently-abled ST students pursuing studies from Class 9 onwards.,Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
451,Tamil Nadu,Scholarship for Differently Abled Students towards Purchase of Books and Note Books,ST,No Income Limit,Class 1-8,Class 1-8,Not Specified,Not Specified,Financial assistance for differently-abled ST students for purchasing books and notebooks.,Private,Not Specified,Varies,Annual,Varies,http://ssp.tn.gov.in/
452,Tamil Nadu,Post Matric Scholarship for ST Students (National Level),ST,No Income Limit,Class 11-PhD,St students pursuing post-matric,Not Specified,Not Specified,Financial assistance for ST students pursuing post-matric courses at national level.,Private,Not Specified,Varies,Annual,Varies,http://scholarships.gov.in/
453,Tamil Nadu,Scholarship for Tribal Students,ST,No Income Limit,All Levels,All levels,Not Specified,Not Specified,Financial support for ST students in Tamil Nadu.,Private,Not Specified,Varies,Annual,Varies,http://www.dte.tn.gov.in/
454,Tamil Nadu,Tribal Welfare Scholarship for Higher Studies,ST,No Income Limit,PG,Pg,Not Specified,Not Specified,Scholarships for ST students pursuing higher studies in recognized institutions.,NGO,Not Specified,Varies,Annual,Varies,http://www.trb.tn.gov.in/
455,Tamil Nadu,State Tribal Welfare Scholarship,ST,No Income Limit,All Levels,"St students across all levels from school to university, supporting both general and technical",Not Specified,Not Specified,"Scholarships for ST students across all levels from school to university, supporting both general and technical education.",Government,Not Specified,Varies,Annual,Varies,http://www.trb.tn.gov.in/
456,Tamil Nadu,First Graduate Scholarship,All,No Income Limit,UG,First-generation graduates pursuing professional,All category,Not Specified,Financial assistance for first-generation graduates pursuing professional courses,Private,Not Specified,"₹25,000/year",Annual,Varies,https://tnedistrict.tn.gov.in/tneda/
